label,text,id
1,Does anybody really want to see the idiots we can find in the ledt ranks? So you could find some outspoken people in SD . They are still better then most v or mp .,fc3cc6baafe
0,"Why are you a fascist and not a democrat? If you live in Sweden, or any democracy, you have no say in public policy, because you deny other's that same say.",096c0283322
1,"No, the rest of Europe should stop. Germany invited them, Germany can have them.",b3f810c93e4
1,The border must be closed now as we don't won't anymore migrants . As for the Tory get out of the EU and think of our people . We should be thinking of the ex service and the homeless with children . As they need a safe place to live in instead of sleeping in the streets etc. So open your eyes for once.,beeb48013cd
1,When you label children as terrorists you are no better than a nazi.,bcfacaed67f
0,this is like when after wwII nobody wanted the Jews-the result of that was Israel-and we all know how that worked out.,0acaa2f0075
0,"And this is news because, let her do what she wants",0985c665a07
1,Christians are morons. Some people will believe (in) anything.,67f4679b536
0,Free speech is fine so long as I agree with what your saying. Look out Australia your going to end up like the UK.,1ac3818ba54
0,A massive step forward but it should never have taken this long. A huge victory for America. Now Australia need get with the 21st century.,e5a6e9b90fe
0,Sofia Karemyr,4223da73c54
1,"Azoga, you live in the Usa and can't even speak English properly... Go back to Morocco, Muslim!",d95fbfc5a64
0,Well said Lynne.,cec16d3ec33
1,This is fake comfort there are only two sexes man and woman ask dogs they know this fact what a disgrace to humanity and this just confusion to the children that these perverts are allowed to keep,e6bbeb1798e
0,The way of Croatia is not accepted for what they done to Europe,294cb3ed68e
0,God loves anyone? Really? You mean this God? \ https://www.youtube.com/watch?v=-i3mX0YRrjM,ce369b6906a
0,what a mess,4c9b0e78d1b
0,Yes he does x,c9dbffebd2f
1,"The trouble with immigration is, it is eroding the British culture fast and I for one want to keep the British culture in my own country, I will be voting for Ukip",6daa3a703f4
1,may make it easier if they are orphans but I put immediate blame on the ISIS members trying to brainwash them and let's face it they dont believe it themselves as they recruit vulnerable children to do this.,5012ed24d10
0,Where is that can of raid...,3d0ffb62a95
1,"French are doing what they believe in which is keeping France French. Unlike England, which is steadily letting the laws and cultures of others overpower our society. At least the French are doing something about immigration and standing firm on their laws. I say lets adopt these lessons from them. Now... anyone for a baguette? :)",22b552f3886
0,If you don't like it dont watch dont spread hate !!!,9fafb6fde69
1,Off you go! We don't want you anyway because you are violent and without any God.,d620c17dbf8
0,Absouute disgrace the man needs hung this country is a disgrace,b4602e89225
0,Anderd Wiberg. The Sweden democrats just want us to take the train back to 1700 were we can all live without basic human rights. Such as freedom of religion. Maybe we should also talk about what they think about abortionrights for woman and adoption for gaycouple and inseminations. Anyone?,fd6df722e48
0,Your logic is deeply flawed. You are arguing for the right to discriminate against other groups of people. They are fighting for equality. There is no equivalence between these two sides. One is repressive while the other is progressive. Why should gay marriage not be legal?,31879469d75
0,"That was my first thought as well. But it might just be the only option here, since it can be next to impossible to change the longstanding beliefs of the elderly. So just give each their own and let them live out their days in peace. New generations can inhabit those same homes together.",26e505c3272
0,May GOD forgive us .,4e1835cd209
0,Well I never lol he he he ...............,10a8674c19c
0,testimone oculare,861df194c99
0,"75% was just a guess looking at pictures, thanks for the figures",c59f62d5ddb
0,omg,c3e7c8b8cf1
0,We are talking about thousands of people entering a country of milllions......not much of an invasion,93b22ff6ef3
1,Rubbish...Get the Drama out of reporting! You are being conned every single minute and finger typing second of the day......Tell the truth and stop selling your own twisted notion of conscience..there is no moral base to the assertions and without that its just another big Fib !,ccf4af73f92
0,Good Night babe my name is Andrew Warren and so lonely and gorgeous White Indian man down on my knees politely for gorgeous Indian lady to marry please help me red woman classes and politely Miss from Country Trinidad West Indies in Chaguanas known as Trinidad & Tobago suffering in 3rd world Caribbean politely giving you my phone number to try finding me on What's App +18683832624,07aae3b34e0
0,"iri, do you watch Greek news? do you personally know and speak to anyone in Greece? It's not the Greek authorites problem nor is it Greece's, kinda like it's not any other Arab countries problem.",43c210aa245
0,"if you give me 5 billion pounds, I promise to give you 1 billion :)",13d1aeb9df6
1,Sorry don't listen to words of murderers !! 😡😡😡,8bd3e264d3f
0,"Last time I checked, the British dumped a belief in witchcraft back in the Enlightenment. You know, the Enlightenment? Oh wait, you're yet to reach that pivotal point in social rationalism.",9775bb1a2c1
1,They need a job,c6334c72262
0,better love than hate :),ced728bf2cc
1,"In general,he's sort of right,all statistics conclude we are the filthiest europeans,but,of course,the filthy romanians are mostly lazy alcoholics in forsaken villages.",ac8b554f818
1,This is how to create a watercannon damaged crying migrant boy to the mainstream media: http://hiddenlolcdn.com/i/46910.gif,69b656ccd84
1,"Shut the doors,and send them all back now !!",f0cac5dc2e5
1,Ur a fucking tosser mate.,1d7750fa1dc
1,Does anyone really believe that a political union of Europe is a good idea ? Apart from politicians,d3a9659ce6c
1,Why does he carew hat happens to THESE CHILDREN he will be dead soon and they are already orphans he will live in purgatory for the rest of his life I hope 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,46b57dbeaf0
0,When did we destabilise Tunisia where these particular migrants came from?,70c0b33dfd4
0,Free 4 all - scary,557283e22ae
0,I just love it when I hear hetero dudes try to claim that they somehow know the percent while their best friend comes up to me and gropes me during a dance/rave. You guys are so misinformed and deluded it's adorable,d79faf0059c
0,Hungary ; look this http://www.dailymotion.com/video/x37545w_un-maire-hongrois-menace-les-migrants-dans-un-clip-surrealiste_news,91418a83adc
1,Go to school babycakes you must have flunked biology,da43ca498c7
1,You fools,c636bf13e88
0,"There is no reason or justification for this ""tension""...to be human is to help your fellow humans in need!",261f4216810
0,"$8­­­­­­­­5­­­­­­­/­­­­­­­­­h­­­­­­­­­r­­­­­­­­­ ­­­­­­­­­p­­­­­­­­­r­­­o­­v­­­­i­­­­­­­­­d­­­­­­­­­e­­­­­­­­­ b­­­­­­­­­y G­­­­­­­­­oog­­­­­­­­­le­­­­­­­­­, I­­­­­­­­­ am ­­­­­­­­­making a good salary from home $6580 $7065/week , which is amazing, under a ­­­­­­­­­year ­­­­­­­­­ago ­­­­­­­­­I ­­­­­­­­­was ­­­­­­­­­jobless in ­­­­­­­­­a ­­­­­­­­­horrible ­­­­­­­­­economy.now im rising make-job.comONLY do not include ""ONLY"" 4",fc67c27eeec
1,"Michael Strömpl Oh it's rich...so a Romanian is trying to educate me on humanity meanwhile you guys are being nasty and discriminate against Hungarians living in Transylvania all the time! Oh by the way, I'm a law student, so no I wouldn't qualify myself as 'brain-dead' thank you very much. Let me ask you, dear: since when is islam a 'race'? Here, I'll help you: it's a religion. Looks like you're the brain-dead one here after all. I don't know what they teach you at that university in Bucharest, but the very basics are certainly missing... This is elementary school level knowledge, my friend. Oh and FYI: I don't hate the islam religion, the only things I hate are agression and terrorism!",5ad6afc8208
0,"Got half way through the tirade of xeno this phobia that, to draw the conclusion that we are a selfish TWAT of a species,,, ME, ME, ME, ME... All you do gooder humanitarians can go kiss your ass.. WE the HUMAN race ARE MOST definately NOT endangered as a species.. but will be due to own caring for fuck all else other than ourselves... It really is not rocket science when a species overwhelms, ALL life is in peril.. AND NO god NOR PRAYING TO FANTASY SHIT WILL CHANGE THAT.. A friggin men..... Wake up dickheads!!",ac7068b24ae
1,"Lol.Jesus is the Way,the Truth and the Life .Anyone that accepts and believes in him wont be groping in darkness and reprobation just like this sickening community Rich Walton &Perry Bird",09e707cd32a
0,manyoko,46abd81c7c4
1,You vote for him and support him.....until he does something that effects you. What message do you send to others? You're a hypocrite. Shouldn't you be supporting his decisions like you asked us all to do?? 😂😂,c76c3641eff
0,"Mostly incorrect perceptions of immigration are key to Briton's issues with the EU, along with a 'but America are our friends and will save us complex', and an allergy to any corruption except in the British government itself. All this very ironic in a country with a history of enforcing immigration of its own citizens into other people's countries at gunpoint for centuries",87ff4d98f46
0,I want to be like Sam Lakin.... Fearless,48f717d2394
0,Islam is a race? Funny. There are white Muslims too ;-),07aea3ebf51
0,"how many hormone boosters, super performance drugs etc has the US military used on its troops already? What's the Viagra about? Positive thinking?",83a517fd793
1,"Who stops Eu politicians? They are absolutly irresponsible decievers of Europe, its history and its inhabotants.",8d8e093956d
0,"Should, could,would.....won't, will not, could not. I hope this crisis as well as the economic crisis in some of the EU countries does not spark WW3.",c57c8ddc4cc
0,"70 years ago,meanwhile in the USA today.....",6a251f851f8
0,"GLORIA WATSON, BRAVO, WELL SAID.",12d005d50e4
0,I don't think anyone is talking about that,ea706ef4434
0,"Oh yeah. Physical fitness standards are different. If that is what you mean by ""training""....",6b392ca6bc9
1,Ask these retards,01301b6efb0
0,Bless me father for I want to sin,86043186ef4
0,Guess she needs circumcision too.,fd4d7bcc4d1
1,"Marriage and love are not the same thing. Marriage and sex are not the same thing. Marriage and mutual contractual partnership are not the same thing. Marriage means literally the union of two sexes. So, there can't be a ""marriage"" between members of the same sex, whatever else may exist between them.",269190139c9
0,"You mean the same Christians who massacred people over and over again for centuries on their crusades? School shootings and Nazism because they claimed God told them to do it? Torture and spreading fear to force people to believe in God? A literal massacre and near extinction of Native Americans in the name on Christianity? Indoctrination of children worldwide and instilling fear into them over something that doesn't exist? Even according to the Bible (for which you obviously take as fact), God killed more than 20 million people. Satan killed 2. Nothing to be proud of. When the last time has gay people murdered millions of people to convert them to be homosexual? Do you see gay people whipping pinned lashes and burning people in public to make them gay and as a warning to what would happen if you weren't gay? Because LGBT+ people fight for equality, diversity and love, including heterosexuality. Rather the opposite of your religion. If there's ever such thing as hell, you know you're going there since you're so full of hatred and condone mass murder and violence.",0304838f6e5
0,Men like you always object to gay people and describe their physical interaction. I think and you are afraid that you maybe are gay in a closet or maybe be bisexual wow! I met men like you!!!,1cd119b2cee
1,What a moron!,23e728d1d8a
1,"Phil Stevens. Learn basic grammar skills, then you can talk.",64adac6db98
0,It was major news a few years ago,7f4d08ca521
1,"I think you miss the point. Marriage is the union of a man and woman. THAT IS WHAT THE WORD "" MARRIAGE"" MEANS. A Same Sex Union is fine. Equal rights , no discrimination and all that .I mean who cares in today's world ! .But don't call it marriage because it's not .When I tell someone I am married I want them to know it is to a woman not a man I honestly don't see the problem. If necessary , invent another word that means "" same sex union""",0b0aa264329
0,", ""Ultimate price "" is to convert into something that you do not want to become and is simply no longer you, period! ""True National Identity"" is what ancient & also many other historic civilizations have been able to preserve for centuries or even millennium. All the achievements in their own original culture, language & preferred way of life in their own country they call Motherland or Fatherland . Everything in the face of all foreign invasions and interventions! If you have studied World history & Geography, you should know the answers to your own questions!",6ed6cf1e9ac
0,And what good will that do except keep her head warm,be9d21e1f11
0,probably the same people who pay more for the US military's supply of viagra.,6ab88df5a9d
0,Sending love to the Orlando victiims,e9aac05792b
1,"send em back, they aint refugees, refugees dont argue and fight they accept what is offered, these are opportunist scum....",0375e0b97ec
0,I think if anyone needs to get their facts right it's you Lucilla Sallabank because I know for a fact that the benefits and conditions are NOT the same in other countries x,af4f698defc
0,Intolerance reigns,98eaa074ed4
0,no need to be surprised ;) everything's possible in that World,927e741aa46
1,They ARE fighting for our country you fekkin pillock.,a8ebac99475
1,"If you equate homosexuality with paedophilia, I suggest therapy. May I suggest the 'breezeblock to the face' treatment?",764f2856ade
0,and Jesus did not wear a cross so why do you?,243bebabd71
1,It won't matter either way of the comments what our views are someone won't be happy that mp yrs ago was laughed at when he said shut the boarders or we will be sorry it will never stop he was right,3494ed05547
1,"send them all back , enough is enough",b49d259437b
0,Why doesn't he lead by example?,c33cb1bc472
0,what are you live at,d7650fed36d
1,Really what the hell for ? He put his son on that boat !,7fe85a527f3
0,Why doesn't the map show the new country of Kosovo?,26d773e48c9
0,Open debate..I like it,a812bc98327
1,You only see what you want to see. Pretty much like ostrich.,5d88722b053
0,I know that !,67c768b6f6a
0,meh,63bb74a195e
0,"Maybe the countries I've visited, lived & worked are different to your 70. They might want to live in Britain but not because we are all friendly, happy, inviting & accepting people. More often it's all about the money.",5614d563aee
0,"Transgender toilets? That's not what the controversy is about. It's about trans people using the toilets that match their identity (rather than the sex assigned to them at birth). And *that's* humanity's most insignificant problem; in fact it isn't even a problem. By the way, free speech means the government won't stop you from voicing your opinion, it does not however protect you from being told you're wrong, uninformed, or bigoted.",058adfd4e32
1,You are an ignorant tosser,14902fcf9ce
1,This is why no one respects politics in this country. The right-wing belligerently assert that everything is as they say it is; the left-wing shit their pants and apologise every time anything changes. Do these people never think that evidence-based politics might be easier on their back?,8de2e9af503
1,"I really hope this isn't turning into the Trojan horse that brings the world down to its knees. If so, we are all screwed",d06051e41a7
0,What a hypocritical comment,dfca6ef66ea
0,It's a shame we still have people who think 'they gays' are the spawn of Satan and trying to corrupt the youth. I think that one persons right to live in a safe and peaceful environment trumps another's right to hate that person.,7a60166b2d9
1,Your an immigrant yourself ya moron read a history book.,8043972d396
0,"The mind of god is cosmic music,take care of your self and your loved ones,peace!",dfd9ee35ee9
1,"You should have no respect for those who don't believe in equality, humor them like the backwards people they are but don't respect them.",adf39374696
0,"Good idea!! And, It wouldn't happen in Japan,,,😢",b85edefa754
0,Stacey's mini documentary has really been a shocking eye opener to many who have seen it,3d8f212988e
1,it is the money grabbing politicians and their rich friends ruining this country not the immigrants. the divide between rich and poor is so wide now even david camerons big ass cannot cover it. they throw the public off their scent by pointing the finger at anyone/anything but themselves.,26aeb8cc286
0,As most people in the comments here has already stated. These people DON'T represent the common views of the average Sweden. They only got 13 % of the votes in the last election so 87 % don't sympathize with them or their views which has to be very clear.,cc051eb316c
1,Perverts!!,9895ea3ae4d
0,Anyone remember WW2?,b37bd0ef834
1,Go to Russia..,169aeb9ab49
0,"People are fed nonsense about immigration on a daily basis, while the case for it doesn't get heard. I don't think they can altogether be blamed for being anti.",5cac0a86ba2
0,Kevin Abimael Méndez,af62b5a976f
0,That's natural.,9a91a8a069c
0,"what - radical inclusion, Obama healthcare, women's health?",029e53b52fc
0,Must be a new thing then as I have suffered Eczema all my life and have worn the uniform after signing the dotted...,98d8df7b988
0,Absolutely he does.But on the flipside the devil gave us Motorhead to fucking rock out too as well hehehe.,37919473f0c
1,"It's hilarious and is mocking religion for just how ridiculous it is. Catch up with the times dinosaurs!! ...oh no wait, according to the bible ..they didn't exist! LOL LOL!!",f03fb0e18b5
1,"Just remember this: Your ""the ends justifies the means"" bullshit has been used to slaughter an awful lot of people and enslave a whole lot more. Pull your head out of your ass, my friend.",bc145f54bc2
0,Their not Muslim:/,a9b2c81f623
0,How Nancy Reagan like.,1493b594dc3
0,Happy Pride to the Big Apple!!!,76dbf52c8d5
0,"it's cuz of evolution, and 'apes' so these apes became animals and humans and insects? LOL..",743924da8f9
1,Chris people who think that way are in the very small minority of pure imbeciles who wake up every morning and hate and read those tags that promote inequality keep the faith we will all be free one day,90aacd562cd
0,Happy pride everyone!!!,e7564601c3f
0,because intercourse between African Men and Women also get the disease are you going to say black people are evil now?,f6ceb41e430
1,Lol Israel Your religion is superstition And Mormons were started by a conman and serve as a religion scientology can mock as fraudulent,0c5334e327a
1,She could of shown solidarity by shooting up Paris or making a gruesome snuff film,3d62fb78cc5
1,"Oh, ffs. Posting links to Pat Condell just makes you look like an idiot. He can barely tie his own shoelaces, let alone debate about a country he knows fuck all about.",079cb745c1f
0,Have you guys read the hatred comments to all BBC posts? It worries me!,a5cbfd706e0
0,"but 99% of the people in those country are muslims, so even muslims have the choise, and yes 60% wear it .. You don't respect their choice Darren Cook ?",4c7a318f921
0,"Fox News, have a nice weekend! ;)",e38f5aef5cb
0,Like Beautiful Mymensingh.... https://m.facebook.com/profile.php?id=385260768335998,a4789d95432
0,Only Trump can do that!,90d40232eb0
0,"Actually, according to the best information, there are about 1 transsexuals to every 8000 members of the UK population.",ae3a3733ce6
1,"These are two kids who had never sit themselves in a flight. Or travelled outside the country. It's kind of a mental disorder or phobia--an inbuilt fear. They represent very few, here just people like people like them. They mostly live in a box and do the same thing day in and out, go to the same restaurant and eat the same food. So we are kind of shame of them in Sweden.",c3f36d1ad47
1,id like the whole world to send you back home,c0a382a6bc2
1,"Waking up to what was guaranteed a bit late is incompetence, who is supplying the guns and ammo making billions they are the problem.",2c691198503
1,"What a fool, if only you hadn't voted for him then eh? Who'd have guessed that self important bigot with a God complex who's main appeal was to ignorant rednecks would have been a bad choice for president?",bd95eb0ca7e
0,Shouldn't the solidarity be reciprocated?,563cfd08753
1,"I do not want to see anything else on this scum bag, he was the people trafficker he was responsible for the deaths of his own family and countless others, so come on get your priorities right",b5cceb0f18b
1,"Your religion makes me sad, you are single minded and I think it's unfortunate people like you exist.",12d16c8487d
1,"Yea, some frogs but who pays for their transition?",d8de1093fce
0,you did misunderstood. I never mention American army.You assumed im talking about it which is wrong. Not everyone is in America. The army training vary in each country.,7441144b6de
1,Propaganda!! Laughing up their sleeves that we're falling for the sob stories. 'Let's put some kids & women out there& the west will fall for it'!,1ad206b7584
1,This is an indication that dooms day is comeing,c4e6819710d
1,"David, I wish I knew. If I had that knowledge I would definitely share it. They are sheltered and misguided, their women uneducated, their men brought up with ideas that they are superior. How does one deal with any brainwashed group? Way before this issue came to Europe, I grew up seeing it in Turkey. Yes, Turkey is not run by Sharia law but there are still extreme individuals who take it into their own hands. The only thing I've seen work, and very slowly, is just to start educating those children. Have the next generation more knowledgeable about the world.",2432887f6c1
0,"Every ducking day is straight pride, because no one attacks you for being straight and tells you not to be.",148646a69b3
0,"Brian, these people don't believe in God anymore they are satisfied with life, never gone broke, no shortages or hardships just the good life.",8470335361b
0,Not really.,e6bda4269e4
1,"Muslims worship a devil, Christians worship the one and only God Jesus Christ.",35fc834e4e3
0,Unfortunately they got 12.8% in the elections and have polled around 20% It's bleek,bfc7c549493
0,Vile.,257f0d6fb0b
0,I doubt!!!,c9b386ecd01
0,I was likening your claiming not to have a problem with gay people to the way racists claim not to have problem with other races,a4b3e2ec19f
0,"' i probably would have drowned trying to save my son, i'm just saying '",a45c7171b13
0,Still they are the 3rd political force in Sweden... !!!,de1e714da9b
0,Ok Watching Now,b2e012840f3
1,to many in Canada now,a620675df81
0,"How is it that NO ISLAMIC COUNTRY has offered to take in these people???? Saudi Arabia for just one of many not even a whisper of help, yet they have the space and wealth to do for them???????",13292076d40
1,"Nico you're living in a dream world yourself. Immigration is ultimately driven by big business. Here in the uk for the uk. Share prices are sustained by growth. If your population doesn't grow neither does your business, profits, or share price. It has nothing to do with Brussels That's just UKIP b s",2279fb7d330
0,O Jesus was sooooo gay ...think about it,b272e009936
1,These people need to go back to their country and fight for their country. This is more like an invasion. These people are not thankful for the help they are receiving and they will not adopt their host country culture so they need to go back home or be considered an invasion.,4489180882f
0,sm is not about symbols it's about doing good deeds for the USA,9629fb637d2
0,", then he is not a refugee , if he is in a safe haven",ca0a3c84bc9
0,He's better than any of the muppets you've had since Kennedy,8ef32ae962d
1,"So edgy, so brave. Not.",25a467599de
0,Why are they migrating???,e24991ade9b
1,"My message to Syrians, take care of ur kids unlike this schmucko",96aa7a45db6
0,"The OP said training. I addressed the training part of it. I also, in a sad attempt, tried to gain clarity from the OP by mentioning standards were different and maybe that was meant by the word training. Its no wonder Trump is in office. *face palm*. I dont even know why i bother to impart my experience amd knowledge in an attempt to shed light on things.",e4f7262afa7
1,"Hungary and Croatia are buffer zones for Germany and Austria who sent out the order to blockade the migrants. EU/Germany ( under the rule of Hitlers daughter Angela Merkel) will try and force Romania to accept most if not all the migrants. What will the migrants do its the real question. Will they accept to be forced to live here or will they insist on moving to the promise land, Germany. Personally I think USA and Germany should split the migrant number in half and adopt them. It is their mess and they should be responsible for this not other countries.",e4ed12bfd4d
0,Got married once . Never will again,ea833367972
0,"Well, in my country elderly gay couples are forcefully separated and not allowed to share a room, since most elderly retirement homes are publicly subsidized but run by the Catholic church. So there. Segregation my a##.",e5c65aa74a9
0,The most moral candidate for President of the USA is Bernie Sanders. He will treat the refugees with warm welcoming arms. Bernie Sanders 2016!,f3997caeffd
1,Anybody that racist has to conservative,9bb4fb0089f
1,He should be on a charge for killing his child,9ea2e6f774d
1,"I wouldn't wipe my toilet with you to be honest, let alone cleanse the world of you. Just saying.",ca29fd7629e
0,"Pretty sure this guy just quoted ""The Office"" and is playing you.",cc2b509b1a1
1,Thoroughly unpleasant.,f359e38a3ef
1,they should make a new country in the middle of afghanastan and leave these so called refugees there its not Europe problem or they can move to antartica,227276d3728
0,Harris Lovatt Rosie Hazeldine Ruby Kwong GUYS,de3bd16c1b1
0,Vry nice step towards bringing together and spreading love,b891c9182e0
0,"As there should be, when a country attacks your country for your oil.",9211e617446
0,"So you think I'm unnatural. Who are you to decide what is natural? Do you cook food? That's not natural. Do you wear clothes? That's not natural. I'm not confused. I am 100% certain who I love with all my heart and will do forever, and she's my wife. If you have a problem with that, it's you who has to get over it. Because my marriage is only a problem for you if you want it to be.",d0971d86641
0,👏👏👏👌👌👌✊✊✊👍👍👍,d77bd1cf205
0,I think there's a few gays in Africa already sweet cheeks - sorry to break it to you.,e1dda271987
1,"go google it for yourself. It was proven shortly after he killed his boy, that he was lying about a) being in the boat, B) a people smuggler But then again, you, like most of your fellow moslems, refuse to believe the truth, but you believe a man rode a horse to the moon",ec8d331bfbc
1,Bryan loves it 'backwards',efaced34a7b
0,BBC still you fail to report that Turkey is deporting refugees with EU money and backing. https://www.amnesty.org/en/latest/news/2015/12/turkey-eu-refugees-detention-deportation/,0fffe9664d4
0,"A gay man still produces sperm and a lesbian can still have eggs and ovulates. So a gay man can give his sperm to a lesbian's eggs they just don't have sex together. Boom, that ruins your theory. :) Edit: xxx",05608358194
0,You talk about the fate of Jews in the Holocaust. You don't see the similarity of refugees literally dying and being blocked from getting in to Europe. Remember British only took 200 jewish refugees in 1939,e1116903553
1,"Foolish Westerners ! May God Punish U For Yo Stupidity, SONDOMA and GOMOLA. U Remember !!",ea76add5f8d
1,Ex Muslim I am! It is ISIS! Islam is a devil cult! Fact!,827cc085624
0,"You call it anything you like, in my country my marriage is legal, it's called a marriage, my wife is called my wife, I am called her wife, we are married, we had a wedding, and we hold a marriage certificate to prove it. If you choose not recognise it, I choose not to recognise your views as legitimate.",d063a3b90ee
0,"if it wasn't for zlatan, no one would care about sweden",287b1976f35
0,Samuel Allen,7970e6b4696
1,Well you look like ' nut job',25dfab8afbb
0,"I really don't think the problem is really with the incomers, the problem, as I see it is more and more houses and flats are being built, but they are not increasing facilities, schools, doctors surgeries, hospitals, dentists, so facilities that served say 5.000 people is now expected to serve 8,000 people, plus, I am convinced that those in charge have absolutely no idea of how many people are coming in, or how many are leaving, Its a mess.",ee6f4153410
0,"The Supreme Court is the final judge in all cases involving laws of Congress, and the highest law of all — the Constitution. So equal rights only applies to those who are in power? That's what it sounds like you are saying.",f9ee96e8b47
1,"You're completely retarded and teaching backwards knowledge. We are here because they knew this was india...Hinduism didn't come from india...it was called Amecca, Atlanta... And you're retarded ""masters think they know anything... 0 is sphere... Our math is actually backwards... Decimal is pi which is equal sign.... And you are far from equal or any intelligent you idiot",a3489fdf7b3
1,he's abusing children's minds all in the name of god what an evil b#@$d hope he rot's in hell,cae33a5ae0e
0,Nice EngRish there matey.,633c0baee4f
0,"Someone had a good idea... But it seems no one like themselves in this country...considering we have the whole answer for this dailly news and conflict, but we would rather sell out water to coke, and read about how it isn't getting better...maybe over a Starbucks...",6a2e6a80d75
0,How much for those forced into homelessness in Cumbria?,44df01f308f
1,People with the same thinking as you pollutes the earth.,7f9d4084fa7
