,label,text,id,count_chars,count_words,count_sentences,count_emojis,count_at,count_hash,count_words_avg,count_sentences_avg,text_length
79,0,Good Night babe my name is Andrew Warren and so lonely and gorgeous White Indian man down on my knees politely for gorgeous Indian lady to marry please help me red woman classes and politely Miss from Country Trinidad West Indies in Chaguanas known as Trinidad & Tobago suffering in 3rd world Caribbean politely giving you my phone number to try finding me on What's App +18683832624,07aae3b34e0,383,67,1,0,False,False,4.731343283582089,67.0,383
80,0,"iri, do you watch Greek news? do you personally know and speak to anyone in Greece? It's not the Greek authorites problem nor is it Greece's, kinda like it's not any other Arab countries problem.",43c210aa245,195,35,3,0,False,False,4.6,11.666666666666666,195
83,0,"Last time I checked, the British dumped a belief in witchcraft back in the Enlightenment. You know, the Enlightenment? Oh wait, you're yet to reach that pivotal point in social rationalism.",9775bb1a2c1,189,31,3,0,False,False,5.129032258064516,10.333333333333334,189
86,1,"In general,he's sort of right,all statistics conclude we are the filthiest europeans,but,of course,the filthy romanians are mostly lazy alcoholics in forsaken villages.",ac8b554f818,168,22,1,0,False,False,6.681818181818182,22.0,168
91,1,Why does he carew hat happens to THESE CHILDREN he will be dead soon and they are already orphans he will live in purgatory for the rest of his life I hope 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,46b57dbeaf0,171,33,1,15,False,False,4.212121212121212,33.0,171
94,0,I just love it when I hear hetero dudes try to claim that they somehow know the percent while their best friend comes up to me and gropes me during a dance/rave. You guys are so misinformed and deluded it's adorable,d79faf0059c,215,41,2,0,False,False,4.2682926829268295,20.5,215
99,0,"$8­­­­­­­­5­­­­­­­/­­­­­­­­­h­­­­­­­­­r­­­­­­­­­ ­­­­­­­­­p­­­­­­­­­r­­­o­­v­­­­i­­­­­­­­­d­­­­­­­­­e­­­­­­­­­ b­­­­­­­­­y G­­­­­­­­­oog­­­­­­­­­le­­­­­­­­­, I­­­­­­­­­ am ­­­­­­­­­making a good salary from home $6580 $7065/week , which is amazing, under a ­­­­­­­­­year ­­­­­­­­­ago ­­­­­­­­­I ­­­­­­­­­was ­­­­­­­­­jobless in ­­­­­­­­­a ­­­­­­­­­horrible ­­­­­­­­­economy.now im rising make-job.comONLY do not include ""ONLY"" 4",fc67c27eeec,428,37,1,0,False,False,10.594594594594595,37.0,428
100,1,"Michael Strömpl Oh it's rich...so a Romanian is trying to educate me on humanity meanwhile you guys are being nasty and discriminate against Hungarians living in Transylvania all the time! Oh by the way, I'm a law student, so no I wouldn't qualify myself as 'brain-dead' thank you very much. Let me ask you, dear: since when is islam a 'race'? Here, I'll help you: it's a religion. Looks like you're the brain-dead one here after all. I don't know what they teach you at that university in Bucharest, but the very basics are certainly missing... This is elementary school level knowledge, my friend. Oh and FYI: I don't hate the islam religion, the only things I hate are agression and terrorism!",5ad6afc8208,696,122,8,0,False,False,4.713114754098361,15.25,696
101,0,"Got half way through the tirade of xeno this phobia that, to draw the conclusion that we are a selfish TWAT of a species,,, ME, ME, ME, ME... All you do gooder humanitarians can go kiss your ass.. WE the HUMAN race ARE MOST definately NOT endangered as a species.. but will be due to own caring for fuck all else other than ourselves... It really is not rocket science when a species overwhelms, ALL life is in peril.. AND NO god NOR PRAYING TO FANTASY SHIT WILL CHANGE THAT.. A friggin men..... Wake up dickheads!!",ac7068b24ae,515,96,3,0,False,False,4.375,32.333333333333336,515
102,1,"Lol.Jesus is the Way,the Truth and the Life .Anyone that accepts and believes in him wont be groping in darkness and reprobation just like this sickening community Rich Walton &Perry Bird",09e707cd32a,187,31,1,0,False,False,5.064516129032258,31.0,187
104,1,You vote for him and support him.....until he does something that effects you. What message do you send to others? You're a hypocrite. Shouldn't you be supporting his decisions like you asked us all to do?? 😂😂,c76c3641eff,209,37,5,2,False,False,4.675675675675675,7.4,209
105,0,"Mostly incorrect perceptions of immigration are key to Briton's issues with the EU, along with a 'but America are our friends and will save us complex', and an allergy to any corruption except in the British government itself. All this very ironic in a country with a history of enforcing immigration of its own citizens into other people's countries at gunpoint for centuries",87ff4d98f46,376,63,2,0,False,False,4.984126984126984,31.5,376
118,1,"Marriage and love are not the same thing. Marriage and sex are not the same thing. Marriage and mutual contractual partnership are not the same thing. Marriage means literally the union of two sexes. So, there can't be a ""marriage"" between members of the same sex, whatever else may exist between them.",269190139c9,302,52,5,0,False,False,4.826923076923077,10.4,302
119,0,"You mean the same Christians who massacred people over and over again for centuries on their crusades? School shootings and Nazism because they claimed God told them to do it? Torture and spreading fear to force people to believe in God? A literal massacre and near extinction of Native Americans in the name on Christianity? Indoctrination of children worldwide and instilling fear into them over something that doesn't exist? Even according to the Bible (for which you obviously take as fact), God killed more than 20 million people. Satan killed 2. Nothing to be proud of. When the last time has gay people murdered millions of people to convert them to be homosexual? Do you see gay people whipping pinned lashes and burning people in public to make them gay and as a warning to what would happen if you weren't gay? Because LGBT+ people fight for equality, diversity and love, including heterosexuality. Rather the opposite of your religion. If there's ever such thing as hell, you know you're going there since you're so full of hatred and condone mass murder and violence.",0304838f6e5,1079,183,13,0,False,False,4.901639344262295,14.076923076923077,1079
120,0,Men like you always object to gay people and describe their physical interaction. I think and you are afraid that you maybe are gay in a closet or maybe be bisexual wow! I met men like you!!!,1cd119b2cee,191,37,4,0,False,False,4.1891891891891895,9.5,191
124,1,"I think you miss the point. Marriage is the union of a man and woman. THAT IS WHAT THE WORD "" MARRIAGE"" MEANS. A Same Sex Union is fine. Equal rights , no discrimination and all that .I mean who cares in today's world ! .But don't call it marriage because it's not .When I tell someone I am married I want them to know it is to a woman not a man I honestly don't see the problem. If necessary , invent another word that means "" same sex union""",0b0aa264329,443,91,7,0,False,False,3.879120879120879,13.0,443
125,0,", ""Ultimate price "" is to convert into something that you do not want to become and is simply no longer you, period! ""True National Identity"" is what ancient & also many other historic civilizations have been able to preserve for centuries or even millennium. All the achievements in their own original culture, language & preferred way of life in their own country they call Motherland or Fatherland . Everything in the face of all foreign invasions and interventions! If you have studied World history & Geography, you should know the answers to your own questions!",6ed6cf1e9ac,567,96,5,0,False,False,4.916666666666667,19.2,567
130,0,I think if anyone needs to get their facts right it's you Lucilla Sallabank because I know for a fact that the benefits and conditions are NOT the same in other countries x,af4f698defc,172,33,1,0,False,False,4.242424242424242,33.0,172
136,1,It won't matter either way of the comments what our views are someone won't be happy that mp yrs ago was laughed at when he said shut the boarders or we will be sorry it will never stop he was right,3494ed05547,198,41,1,0,False,False,3.8536585365853657,41.0,198
146,0,"Maybe the countries I've visited, lived & worked are different to your 70. They might want to live in Britain but not because we are all friendly, happy, inviting & accepting people. More often it's all about the money.",5614d563aee,219,39,3,0,False,False,4.641025641025641,13.0,219
147,0,"Transgender toilets? That's not what the controversy is about. It's about trans people using the toilets that match their identity (rather than the sex assigned to them at birth). And *that's* humanity's most insignificant problem; in fact it isn't even a problem. By the way, free speech means the government won't stop you from voicing your opinion, it does not however protect you from being told you're wrong, uninformed, or bigoted.",058adfd4e32,437,71,5,0,False,False,5.169014084507042,14.2,437
149,1,This is why no one respects politics in this country. The right-wing belligerently assert that everything is as they say it is; the left-wing shit their pants and apologise every time anything changes. Do these people never think that evidence-based politics might be easier on their back?,8de2e9af503,289,47,3,0,False,False,5.170212765957447,15.666666666666666,289
152,0,It's a shame we still have people who think 'they gays' are the spawn of Satan and trying to corrupt the youth. I think that one persons right to live in a safe and peaceful environment trumps another's right to hate that person.,7a60166b2d9,229,43,2,0,False,False,4.348837209302325,21.5,229
158,1,it is the money grabbing politicians and their rich friends ruining this country not the immigrants. the divide between rich and poor is so wide now even david camerons big ass cannot cover it. they throw the public off their scent by pointing the finger at anyone/anything but themselves.,26aeb8cc286,289,49,3,0,False,False,4.918367346938775,16.333333333333332,289
159,0,As most people in the comments here has already stated. These people DON'T represent the common views of the average Sweden. They only got 13 % of the votes in the last election so 87 % don't sympathize with them or their views which has to be very clear.,cc051eb316c,255,49,3,0,False,False,4.224489795918367,16.333333333333332,255
163,0,"People are fed nonsense about immigration on a daily basis, while the case for it doesn't get heard. I don't think they can altogether be blamed for being anti.",5cac0a86ba2,160,29,2,0,False,False,4.551724137931035,14.5,160
169,1,"It's hilarious and is mocking religion for just how ridiculous it is. Catch up with the times dinosaurs!! ...oh no wait, according to the bible ..they didn't exist! LOL LOL!!",f03fb0e18b5,174,30,5,0,False,False,4.833333333333333,6.2,174
170,1,"Just remember this: Your ""the ends justifies the means"" bullshit has been used to slaughter an awful lot of people and enslave a whole lot more. Pull your head out of your ass, my friend.",bc145f54bc2,187,35,2,0,False,False,4.371428571428571,17.5,187
175,1,Chris people who think that way are in the very small minority of pure imbeciles who wake up every morning and hate and read those tags that promote inequality keep the faith we will all be free one day,90aacd562cd,202,39,1,0,False,False,4.205128205128205,39.0,202
180,1,"Oh, ffs. Posting links to Pat Condell just makes you look like an idiot. He can barely tie his own shoelaces, let alone debate about a country he knows fuck all about.",079cb745c1f,167,32,3,0,False,False,4.25,10.666666666666666,167
182,0,"but 99% of the people in those country are muslims, so even muslims have the choise, and yes 60% wear it .. You don't respect their choice Darren Cook ?",4c7a318f921,152,30,1,0,False,False,4.1,30.0,152
187,1,"These are two kids who had never sit themselves in a flight. Or travelled outside the country. It's kind of a mental disorder or phobia--an inbuilt fear. They represent very few, here just people like people like them. They mostly live in a box and do the same thing day in and out, go to the same restaurant and eat the same food. So we are kind of shame of them in Sweden.",c3f36d1ad47,374,73,6,0,False,False,4.136986301369863,12.166666666666666,374
190,1,"What a fool, if only you hadn't voted for him then eh? Who'd have guessed that self important bigot with a God complex who's main appeal was to ignorant rednecks would have been a bad choice for president?",bd95eb0ca7e,205,38,2,0,False,False,4.421052631578948,19.0,205
192,1,"I do not want to see anything else on this scum bag, he was the people trafficker he was responsible for the deaths of his own family and countless others, so come on get your priorities right",b5cceb0f18b,192,37,1,0,False,False,4.216216216216216,37.0,192
195,0,you did misunderstood. I never mention American army.You assumed im talking about it which is wrong. Not everyone is in America. The army training vary in each country.,7441144b6de,168,28,4,0,False,False,5.035714285714286,7.0,168
198,1,"David, I wish I knew. If I had that knowledge I would definitely share it. They are sheltered and misguided, their women uneducated, their men brought up with ideas that they are superior. How does one deal with any brainwashed group? Way before this issue came to Europe, I grew up seeing it in Turkey. Yes, Turkey is not run by Sharia law but there are still extreme individuals who take it into their own hands. The only thing I've seen work, and very slowly, is just to start educating those children. Have the next generation more knowledgeable about the world.",2432887f6c1,566,101,8,0,False,False,4.6138613861386135,12.625,566
211,0,"How is it that NO ISLAMIC COUNTRY has offered to take in these people???? Saudi Arabia for just one of many not even a whisper of help, yet they have the space and wealth to do for them???????",13292076d40,192,38,3,0,False,False,4.078947368421052,13.0,192
212,1,"Nico you're living in a dream world yourself. Immigration is ultimately driven by big business. Here in the uk for the uk. Share prices are sustained by growth. If your population doesn't grow neither does your business, profits, or share price. It has nothing to do with Brussels That's just UKIP b s",2279fb7d330,301,53,6,0,False,False,4.69811320754717,8.833333333333334,301
214,1,These people need to go back to their country and fight for their country. This is more like an invasion. These people are not thankful for the help they are receiving and they will not adopt their host country culture so they need to go back home or be considered an invasion.,4489180882f,277,52,3,0,False,False,4.346153846153846,17.333333333333332,277
221,0,"The OP said training. I addressed the training part of it. I also, in a sad attempt, tried to gain clarity from the OP by mentioning standards were different and maybe that was meant by the word training. Its no wonder Trump is in office. *face palm*. I dont even know why i bother to impart my experience amd knowledge in an attempt to shed light on things.",e4f7262afa7,358,68,6,0,False,False,4.279411764705882,11.333333333333334,358
222,1,"Hungary and Croatia are buffer zones for Germany and Austria who sent out the order to blockade the migrants. EU/Germany ( under the rule of Hitlers daughter Angela Merkel) will try and force Romania to accept most if not all the migrants. What will the migrants do its the real question. Will they accept to be forced to live here or will they insist on moving to the promise land, Germany. Personally I think USA and Germany should split the migrant number in half and adopt them. It is their mess and they should be responsible for this not other countries.",e4ed12bfd4d,560,101,6,0,False,False,4.554455445544554,16.833333333333332,560
224,0,"Well, in my country elderly gay couples are forcefully separated and not allowed to share a room, since most elderly retirement homes are publicly subsidized but run by the Catholic church. So there. Segregation my a##.",e5c65aa74a9,219,36,3,0,False,True,5.111111111111111,12.0,219
231,1,they should make a new country in the middle of afghanastan and leave these so called refugees there its not Europe problem or they can move to antartica,227276d3728,153,28,1,0,False,False,4.5,28.0,153
235,0,"So you think I'm unnatural. Who are you to decide what is natural? Do you cook food? That's not natural. Do you wear clothes? That's not natural. I'm not confused. I am 100% certain who I love with all my heart and will do forever, and she's my wife. If you have a problem with that, it's you who has to get over it. Because my marriage is only a problem for you if you want it to be.",d0971d86641,384,79,10,0,False,False,3.8734177215189876,7.9,384
238,1,"go google it for yourself. It was proven shortly after he killed his boy, that he was lying about a) being in the boat, B) a people smuggler But then again, you, like most of your fellow moslems, refuse to believe the truth, but you believe a man rode a horse to the moon",ec8d331bfbc,271,54,2,0,False,False,4.037037037037037,27.0,271
240,0,BBC still you fail to report that Turkey is deporting refugees with EU money and backing. https://www.amnesty.org/en/latest/news/2015/12/turkey-eu-refugees-detention-deportation/,0fffe9664d4,178,17,2,0,False,False,9.529411764705882,8.5,178
241,0,"A gay man still produces sperm and a lesbian can still have eggs and ovulates. So a gay man can give his sperm to a lesbian's eggs they just don't have sex together. Boom, that ruins your theory. :) Edit: xxx",05608358194,208,41,4,0,False,False,4.097560975609756,10.25,208
242,0,You talk about the fate of Jews in the Holocaust. You don't see the similarity of refugees literally dying and being blocked from getting in to Europe. Remember British only took 200 jewish refugees in 1939,e1116903553,206,36,3,0,False,False,4.75,12.0,206
245,0,"You call it anything you like, in my country my marriage is legal, it's called a marriage, my wife is called my wife, I am called her wife, we are married, we had a wedding, and we hold a marriage certificate to prove it. If you choose not recognise it, I choose not to recognise your views as legitimate.",d063a3b90ee,305,59,2,0,False,False,4.186440677966102,29.5,305
249,0,"I really don't think the problem is really with the incomers, the problem, as I see it is more and more houses and flats are being built, but they are not increasing facilities, schools, doctors surgeries, hospitals, dentists, so facilities that served say 5.000 people is now expected to serve 8,000 people, plus, I am convinced that those in charge have absolutely no idea of how many people are coming in, or how many are leaving, Its a mess.",ee6f4153410,445,79,1,0,False,False,4.6455696202531644,79.0,445
250,0,"The Supreme Court is the final judge in all cases involving laws of Congress, and the highest law of all — the Constitution. So equal rights only applies to those who are in power? That's what it sounds like you are saying.",f9ee96e8b47,223,42,3,0,False,False,4.333333333333333,14.0,223
251,1,"You're completely retarded and teaching backwards knowledge. We are here because they knew this was india...Hinduism didn't come from india...it was called Amecca, Atlanta... And you're retarded ""masters think they know anything... 0 is sphere... Our math is actually backwards... Decimal is pi which is equal sign.... And you are far from equal or any intelligent you idiot",a3489fdf7b3,374,58,2,0,False,False,5.4655172413793105,29.0,374
254,0,"Someone had a good idea... But it seems no one like themselves in this country...considering we have the whole answer for this dailly news and conflict, but we would rather sell out water to coke, and read about how it isn't getting better...maybe over a Starbucks...",6a2e6a80d75,267,46,2,0,False,False,4.826086956521739,23.0,267
266,0,I'm afraid that you've missed my whole point of view! I'm not using their words or analysis I was just trying to say that denying the existence of racism in Sweden is only helping the racists! I know from own personal experience of growing up in Sweden that racism and segregation existed way before SD. And those who deny it have either never experienced it because they look right/white or choosing to be blind about it,51fa16a86ca,421,76,4,0,False,False,4.552631578947368,19.0,421
267,0,"I am proud to be a Romanian and I'm proud of our cultural heritage. Sure Romania has its problems, but let's not forget that many ''filthy"" Romanians have contributed to the progress of modern-day European society., e.g. Henri Coanda, Emil Racovita, George Emil Palade, and the list can continue... But what can you do... haters gonna hate. #small town mentality",0505b95fedc,362,60,5,0,False,True,5.05,12.0,362
273,0,Immigration is desperately important to helping grow this country's economy. To stop immigration is to stymie growth and development for a few votes which is shortsighted as fuck.,b340e9780bc,179,28,2,0,False,False,5.428571428571429,14.0,179
275,1,"Some Christians becoming too much compromised with their faith, too much mixing with other faiths is called liberal retards, whilst Muslims never show their solidarity with Christians. Sheep for sheep and goat for goat. Without wearing hijab, we can do much better in support of Muslims and other people around the world. Be mindful that Muslims in the Middle East hate seeing the cross worn by women in their countries.",0f23d8eaf63,420,70,4,0,False,False,5.014285714285714,17.5,420
280,1,"A person who has received a primarily Islamic education will be less scientific, less methodical and less logical, that is obvious and has nothing to do with race, that would be applicable whether they were Syrian or Swedish. Some are refugees, some are migrants.",0b264ba85f1,263,44,2,0,False,False,5.0,22.0,263
285,1,"To counter fight this evil fiction historians must do more to show factual accounts 3 weeks ago historians suspect that jesus is just a myth, this character is created by humans, the same is true for many religions , just how you believe a story told by so many people at primitive times with primitive people while you don't believe your mind and real present facts around you",fe1485389ba,377,68,1,0,False,False,4.5588235294117645,68.0,377
286,0,"This supposed god person we will not and could never meet!! Why not just live for those we can see, touch and hear, and most of all......express and share our love with, No matter who it is!! After all, the bible is just a clever make believe story that the weak choose to believe in, and in turn, it creates wars and antiness!!",f4094ba4a10,328,63,4,0,False,False,4.222222222222222,16.0,328
289,0,Have a look at the Sky News Website. Go to the comments under an immigration news story and have a look at them. It's not hard to see why an interest in immigration control is deemed racist - it attracts the 'extremists' who absolutely are racist to the core. These people are the ones who earn the reputation for the reasonable people.,0a92adc2f78,336,62,4,0,False,False,4.435483870967742,15.5,336
291,0,Your point is immaterial to this article and my post. I don't recall Muslims en masse immigrating to Scandinavia during the reign of the Vikings and spreading Sharia...,1050056a2bb,168,28,2,0,False,False,5.035714285714286,14.0,168
294,0,"If we're going to go on about foreigners, especially ones from Europe, then why not start with the upper class hypocrites who live off the state? The Queen is married to a Greek asylum seeker. The Tories and UKIP aren't against immigration. The main reason the Tories voted against a minimum wage was so they can exploit cheap foreign labour from third world countries. They're only against the EU because it has rights for workers such as enough breaks. The Tories and UKIP don't care about Britain and British people. They sold off nearly everything public owned in the 80s to the highest bidders. Then by the early 90s and after much tax that affects the poor the most such as constant VAT increases, and being the first to add tax to household bills, said they were too broke to put any money into what services were left, making then the worst in Europe.",4baf1fc9766,859,154,8,0,False,False,4.584415584415584,19.25,859
296,0,Why are we as Christians either indignant or surprised at all of this it clearly says in the last days homosexuality as well as other things will be at an unpresident high God does love gay people no more or less than He loves me He might not like some of the things they do nor does he like some of the things I do. Don't for one minute think God uses the same 'scale' of sin as we do I screw up every day from being the person He would want me to be and actually the sadness for me is that there are some non Christians ( in fact quite a few) whose behaviour and attitude towards others are a whole lot better than some Christians I know . So people please think before you post God does not need us to defend Him He is ok to do that himself and thoughtless posts just reinforce the view some people have of us already which is another sadness,49656c01c79,845,170,3,0,False,False,3.976470588235294,56.666666666666664,845
299,0,"Is it segregation for Women to have Women only Gyms, to avoid sexual harassment? If not, why would this be the case? Why would you want to force integration of gay and LGBT elderly people into daily aggression and assault? In the meanwhile this is an actually really good concept.",565fc7a4397,280,50,4,0,False,False,4.62,12.5,280
301,0,"I don't have any matter with God, or Zeus, or Allah or any other deity. I respect people, not beliefs; they're for debating, even like gay marriage, right now.",6f197872736,159,29,2,0,False,False,4.517241379310345,14.5,159
306,1,"This is stupid, she's looking for attention. Since I was young and learned about the Holocaust I've had a star of David. I'm not Jewish at all. It was my own personal reminder of the atrocities that happened. A reminder of what hate is capable of. We don't have to advertise to the world what we do, it's not a race to see who makes it in the news first. I stand beside Muslims, but I'm not going to make a spectacle of it.",663aac1477a,423,84,7,0,False,False,4.0476190476190474,12.0,423
309,0,For everyone who saying that Sweden the isn't like that for me bla bla bla. First of all SD is the third biggest political parti because the swedish people voted on them to be that so it is a big amount of people who agree with their political views. Second of all try to be realistic we have seen plenty of videos and comments on romainen people and it's not often nice. We even had commercials on the subway about the romainens who begs and how they make Sweden filthy with their presence. With that said I know that not every Swede is like that or thinks that but obviously it's plenty who does so stop being blind to the facts because if u can't see the problem there is no problem for YOU. It doesn't mean the problem doesn't exist..,5e6a21938a9,738,141,6,0,False,False,4.24113475177305,23.5,738
312,1,"I'm sorry, wasn't she a Trump lackey and now wants to pretend duress. Bitch please, your money can buy you more protection than you'll ever need but these other transgendered individuals, they are on the street fending for themselves.",84e680e733b,234,39,2,0,False,False,5.0256410256410255,19.5,234
314,1,"HOW DARE YOU? How dare you? Greeks didn't create any war in the middle east. They haven't in the least bit, neither directly nor indirectly instigated any of the problems facing Syria. Yet Greeks are carrying almost the entire burden of illegal immigration into Europe almost singlehandedly, when in fact the very countries responsible for the crisis in Syria and the middle East in general, including Britain where you're from, which has been a global cancer with its imperialism are doing nothing. Greece hasn't caused this flux of immigrants. Yet Greece is handling almost all of them. But Britain has had a significant involvement in the middle east and Syria to say the least. I think it's only fair to take in a few ""refugees"" from Lesvos island and move them to Britain, to turn your village in Britain into something like you argue Greece deserves (for its politicians being idiots, and causing the crisis, in your logic). I'm glad you told the world what an horrible racist you are by finding an arbitrary excuse based on my name alone to be spewing your hate about Greeks when we're talking about Syrian immigrants and Syrian refugees being incorrectly labeled as such by the media who incorrectly use the terms interchangeably. There are Greeks who have it just as bad, if not worse than some Syrians who can afford 5000 euros to pay their smuggler into Greece, as they live in abject poverty in the streets of Athens, eating from garbage bins and rendered homeless through no fault of their own. You should go and see, instead of speaking out of your puckered British asshole: the nation that has fucked this planet time and again. How dare you, you despicable bigoted subhuman?",14068869246,1690,291,13,0,False,False,4.810996563573883,22.384615384615383,1690
317,1,"I think u are evil, what u said are words of satan. How get married to someone they love is evil? Are u backward? Because of people like u that why the world take so long to move forward",7c64ee8170a,186,39,4,0,False,False,3.7948717948717947,9.75,186
319,1,"haha sure. At least we have women in power, equality and rights for gays. You have a prehistoric mindset that can't commute in a civilised society. Every other religion can commute in Europe but only one is not able to integrate. Love it or hate it, facts are facts",53bf0eefff4,265,49,5,0,False,False,4.428571428571429,9.8,265
321,1,Lisa Boyce stop strolling. I have explained myself why yesterday. The question wasn't directed to you Only intelligent people understand what i mean. Unfortunately it's not you.You are ignorant,dab4f89d3da,193,29,4,0,False,False,5.689655172413793,7.25,193
